run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,n_queries,n_queries_with_positive_qrels,qrels_rows,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance,relevance_1_rows,relevance_2_rows,relevance_3_rows,relevance_4_rows
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,task1,test,129,129,28177,218.42635658914728,218.0,197,250,2.65574759555666,3218,7552,13119,4288
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,task2,test,129,129,27953,216.68992248062017,216.0,196,251,2.680177440704039,3002,7335,13217,4399
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,task2_L12,test,129,129,27609,214.02325581395348,206.0,201,236,2.659857292911732,2644,7838,13392,3735
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,task2_L36,test,129,129,27776,215.31782945736435,213.0,196,261,2.7160138248847927,2822,6949,13300,4705
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,task1,test,129,129,27928,216.49612403100775,213.0,200,245,2.6827556574047553,2961,7175,13555,4237
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,task2,test,129,129,27900,216.27906976744185,217.0,199,251,2.6470609318996416,2946,7826,13257,3871
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,task2_L12,test,129,129,27726,214.93023255813952,212.0,202,235,2.6367308663348483,2759,8198,13125,3644
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,4,42,1,full,task2_L36,test,129,129,27803,215.52713178294573,213.0,198,258,2.740495629967989,2847,6345,13787,4824
freqyearly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,6,42,1,full,task1,test,129,129,27657,214.3953488372093,214.0,202,237,2.682720468597462,2698,7355,13628,3976
freqyearly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,6,42,1,full,task2,test,129,129,27441,212.72093023255815,212.0,201,239,2.7067891111839946,2481,7009,14026,3925
freqyearly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,6,42,1,full,task2_L12,test,129,129,27726,214.93023255813952,212.0,202,235,2.6367308663348483,2759,8198,13125,3644
freqyearly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,6,42,1,full,task2_L36,test,129,129,27566,213.68992248062017,211.0,201,253,2.7483856925197707,2607,6375,13931,4653
freqyearly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,2,42,1,full,task1,test,129,129,18882,146.3720930232558,147.0,131,165,2.518483211524203,2241,6687,7877,2077
freqyearly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,2,42,1,full,task2,test,129,129,18751,145.35658914728683,145.0,130,170,2.540451175937283,2110,6658,7722,2261
freqyearly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,2,42,1,full,task2_L12,test,129,129,18526,143.6124031007752,143.0,132,162,2.486019648062183,1885,7466,7461,1714
freqyearly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,2,42,1,full,task2_L36,test,129,129,18688,144.86821705426357,143.0,131,170,2.584439212328767,2047,6199,7915,2527
freqyearly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,4,42,1,full,task1,test,129,129,18766,145.47286821705427,143.0,134,160,2.5424171373761055,2125,6503,7972,2166
freqyearly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,4,42,1,full,task2,test,129,129,18470,143.1782945736434,144.0,133,156,2.5304277206280457,1829,6893,7870,1878
freqyearly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,4,42,1,full,task2_L12,test,129,129,18452,143.03875968992247,141.0,133,160,2.4891068718838065,1811,7462,7522,1657
freqyearly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,4,42,1,full,task2_L36,test,129,129,18834,146.0,145.0,131,166,2.5693957736009345,2193,6175,8015,2451
freqyearly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,6,42,1,full,task1,test,129,129,18587,144.08527131782947,143.0,134,158,2.5151987948566203,1946,7074,7612,1955
freqyearly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,6,42,1,full,task2,test,129,129,18430,142.86821705426357,143.0,134,164,2.532067281606077,1789,6961,7765,1915
freqyearly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,6,42,1,full,task2_L12,test,129,129,18452,143.03875968992247,141.0,133,160,2.4891068718838065,1811,7462,7522,1657
freqyearly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins3__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",3,6,42,1,full,task2_L36,test,129,129,18769,145.49612403100775,145.0,131,162,2.5373754595343385,2128,6537,7994,2110
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task1,test,129,129,14009,108.5968992248062,107.0,99,127,2.462202869583839,1529,5758,5440,1282
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task2,test,129,129,13968,108.27906976744184,107.0,98,123,2.4728665521191293,1493,5773,5306,1396
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task2_L12,test,129,129,13776,106.7906976744186,105.0,99,121,2.436048199767712,1295,6269,5122,1090
freqyearly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,2,42,1,full,task2_L36,test,129,129,14108,109.36434108527132,109.0,97,127,2.5099234476892542,1633,5224,5675,1576
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task1,test,129,129,13964,108.24806201550388,108.0,98,122,2.474362646806073,1472,5693,5502,1297
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task2,test,129,129,13869,107.51162790697674,106.0,98,121,2.440911385103468,1393,6104,5236,1136
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task2_L12,test,129,129,13783,106.84496124031008,106.0,99,120,2.4110861205833274,1298,6486,5034,965
freqyearly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,4,42,1,full,task2_L36,test,129,129,14078,109.13178294573645,109.0,98,128,2.4980110811194773,1600,5352,5641,1485
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task1,test,129,129,13844,107.31782945736434,107.0,99,117,2.462077434267553,1363,5954,5294,1233
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task2,test,129,129,13778,106.8062015503876,106.0,99,121,2.4629118885179273,1293,5998,5303,1184
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task2_L12,test,129,129,13783,106.84496124031008,106.0,99,120,2.4110861205833274,1298,6486,5034,965
freqyearly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins4__h6__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",4,6,42,1,full,task2_L36,test,129,129,13973,108.31782945736434,107.0,97,120,2.5031847133757963,1489,5369,5710,1405
